Category	Owner	Name	Model	Type	Weight in oz	Weight in lb	Notes
Big Four	Family	Tent	Nemo Dagger 2p	Carried	59.2	3.70
Big Four	Thomas	Sleeping Bag	Kelty Cosmic Ultra 800 w/ orange compression bag	Carried	43.48	2.72
Big Four	Thomas	Backpack	ULA Ultra Catalyst	Carried	42.2	2.64
Big Four	Thomas	Sleeping pad	Thermarest Z Lite Sol	Carried	14.48	0.91
Big Four	Thomas	Sleeping pad	Thermarest NeoAir	Carried	16.43	1.03
Clothing	Thomas	Hoodie	Arcteryx Kyanite	Carried	15.77	0.99
Clothing	Thomas	Wool Long Sleeve	Smartwool Red & Black	Carried	10.29	0.64
Clothing	Thomas	1/4 zip	Red Smartwool	Carried	10.9	0.68
Clothing	Thomas	Rain jacket	Black Columbia	Carried	13.73	0.86
Clothing	Thomas	Puffy	North Face Down Black	Carried	13.44	0.84
Clothing	Thomas	Sweatpants	Balance Collection Dark Green	Carried	11.73	0.73
Clothing	Thomas	Wool Long Sleeve	Smartwool Red Camo	Carried	10.08	0.63
Clothing	Thomas	Long Underwear	Navy Smartwool	Carried	7.98	0.50
Clothing	Thomas	Underwear	Smartwool Forest Green	Carried	3.14	0.20
Clothing	Thomas	Socks	Darn Tough Elk Boot	Carried	3.03	0.19
Clothing	Thomas	Towel	Yellow Camp Towel	Carried	2.85	0.18
Clothing	Thomas	Socks	Darn Tough Red & Mustard Patchwork	Carried	2.15	0.13
Clothing	Thomas	Beanie	Red Evo	Carried	2.1	0.13
Clothing	Thomas	Gloves	Green Burton	Carried	1.65	0.10
Clothing	Thomas	Pants	Prana Stretch Zion Green New	Worn	13.86	1.00
Clothing	Thomas	Athletic Shirt	Mountain Hardware Blue Camo	Worn	6.47	0.40
Clothing	Thomas	Underwear	Smartwool Blue Ocean	Worn	3.22	0.20
Clothing	Thomas	Socks	Darn Tough Grey Blue Mountains	Worn	2.2	0.14
Kitchen, Food, & Water	Thomas	Food	all meals for 4 person-nights	Consumable	72	3.35
Kitchen, Food, & Water	Thomas	Water	2L	Consumable	70.4	4.40
Kitchen, Food, & Water	Family	Stove	Jetboil w/ pot and stand	Carried	16.55	1.03
Kitchen, Food, & Water	Thomas	Tea + Meds	Tea, Pills, EmergenC	Carried	6	0.38
Kitchen, Food, & Water	Thomas	Water filter	Sawyer and things	Carried	5.7	0.36
Kitchen, Food, & Water	Thomas	Metal Cup		Carried	5.12	0.32
Kitchen, Food, & Water	Thomas	Water Bottle	3x SmartWater	Carried	3.9	0.24
Kitchen, Food, & Water	Thomas	Fuel	1x 100g cans	Consumable	3.6	0.23
Kitchen, Food, & Water	Thomas	Salt		Carried	1.85	0.12
Kitchen, Food, & Water	Thomas	Dog Treats	Beef Liver	Consumable	1.5	0.09
Kitchen, Food, & Water	Thomas	Utensil	2x Sea to Summit Titanium Spork	Carried	1	0.06
Kitchen, Food, & Water	Thomas	Backup Tablets	Aquatabs	Carried	0.83	0.05
Tools & Utility	Thomas	Tarp	Nylon Pretty Mountains	Carried	14.17	0.89
Tools & Utility	Thomas	First aid kit	with extra blister care + pepto	Carried	11.8	0.74
Tools & Utility	Thomas	Phone	with case	Carried	8.28	0.52
Tools & Utility	Thomas	Battery pack	Smart 10k	Carried	7.7	0.48
Tools & Utility	Thomas	Kindle	Paperwhite	Carried	7.4	0.46
Tools & Utility	Thomas	Knife		Carried	3.65	0.23
Tools & Utility	Thomas	Pillow	Trekology Aluft Pillow 2.0	Carried	3.58	0.22
Tools & Utility	Thomas	Headlamp	Blue Petzl Tikkina	Carried	3.25	0.20
Tools & Utility	Thomas	Keys + ID		Carried	3.25	0.20
Tools & Utility	Thomas	Rope	30' Reflective Red	Carried	2.5	0.16
Tools & Utility	Thomas	Hand sanitizer		Carried	2.43	0.15
Tools & Utility	Thomas	Sunglasses Case		Carried	2.16	0.14
Tools & Utility	Thomas	Bug Spray	Ben's 1.25oz	Carried	1.77	0.11
Tools & Utility	Thomas	Lighters	2x	Carried	1.5	0.09
Tools & Utility	Thomas	Batteries	3x AAA	Carried	1.22	0.08
Tools & Utility	Thomas	Sunscreen	Baby Bum 0.45oz stick	Carried	1.1	0.07
Tools & Utility	Thomas	Toothpaste	Travel size	Carried	1	0.06
Tools & Utility	Thomas	Field Repair Kit	Gear Aid	Carried	0.88	0.06
Tools & Utility	Thomas	Duct Tape		Carried	0.68	0.04
Tools & Utility	Thomas	Toothbrush		Carried	0.68	0.04
Tools & Utility	Thomas	Trowel	Deuce #2	Carried	0.6	0.04
Tools & Utility	Thomas	Toilet paper		Carried	0.54	0.03
Tools & Utility	Thomas	Superglue		Carried	0.23	0.01
Tools & Utility	Thomas	Map	Lost Creek Wilderness	Carried	0.1	0.01
Big Four	Jennifer	Backpack - brain	REI Flash 55 brain	Carried	3.39	0.21
